team,number,name
横浜DeNAベイスターズ,64,百瀬　大騎
横浜DeNAベイスターズ,99,ソト
横浜DeNAベイスターズ,00,宮本　秀明
横浜DeNAベイスターズ,1,桑原　将志
横浜DeNAベイスターズ,3,梶谷　隆幸
横浜DeNAベイスターズ,8,神里　和毅
横浜DeNAベイスターズ,33,乙坂　智
横浜DeNAベイスターズ,37,楠本　泰史
横浜DeNAベイスターズ,52,細川　成也
横浜DeNAベイスターズ,61,蝦名　達夫
横浜DeNAベイスターズ,63,関根　大気
横浜DeNAベイスターズ,046,田中　健二朗
横浜DeNAベイスターズ,100,宮城　滝太
横浜DeNAベイスターズ,107,コルデロ
横浜DeNAベイスターズ,109,ディアス
横浜DeNAベイスターズ,108,デラロサ
阪神タイガース,14,能見　篤史
阪神タイガース,15,西　純矢
阪神タイガース,16,西　勇輝
阪神タイガース,17,岩貞　祐太
阪神タイガース,18,馬場　皐輔
阪神タイガース,19,藤浪　晋太郎
阪神タイガース,20,中田　賢一
阪神タイガース,21,岩田　稔
阪神タイガース,22,藤川　球児
阪神タイガース,26,呂　彦青
阪神タイガース,27,尾仲　祐哉
阪神タイガース,28,小野　泰己
阪神タイガース,29,髙橋　遥人
阪神タイガース,30,高野　圭佑
阪神タイガース,34,谷川　昌希
阪神タイガース,35,才木　浩人
阪神タイガース,36,浜地　真澄
阪神タイガース,37,及川　雅貴
阪神タイガース,40,福永　春吾
阪神タイガース,42,エドワーズ
阪神タイガース,43,守屋　功輝
阪神タイガース,46,秋山　拓巳
阪神タイガース,47,川原　陸
阪神タイガース,48,齋藤　友貴哉
阪神タイガース,49,ガンケル
阪神タイガース,50,青柳　晃洋
阪神タイガース,56,飯田　優也
阪神タイガース,61,望月　惇志
阪神タイガース,64,桑原　謙太朗
阪神タイガース,65,湯浅　京己
阪神タイガース,66,小川　一平
阪神タイガース,67,岩崎　優
阪神タイガース,69,島本　浩也
阪神タイガース,75,スアレス
阪神タイガース,77,ガルシア
阪神タイガース,92,伊藤　和雄
阪神タイガース,12,坂本　誠志郎
阪神タイガース,39,長坂　拳弥
阪神タイガース,44,梅野　隆太郎
阪神タイガース,57,岡﨑　太一
阪神タイガース,59,藤田　健斗
阪神タイガース,94,原口　文仁
阪神タイガース,95,片山　雄哉
阪神タイガース,00,上本　博紀
阪神タイガース,0,木浪　聖也
阪神タイガース,2,北條　史也
阪神タイガース,3,大山　悠輔
阪神タイガース,4,熊谷　敬宥
阪神タイガース,31,マルテ
阪神タイガース,33,糸原　健斗
阪神タイガース,38,小幡　竜平
阪神タイガース,41,ボーア
阪神タイガース,45,遠藤　成
阪神タイガース,55,陽川　尚将
